MemTotal:        1791012 kB
MemFree:          391496 kB
MemAvailable:    1006596 kB
Buffers:          210316 kB
Cached:           492824 kB
SwapCached:            0 kB
Active:           844884 kB
Inactive:         305924 kB
Active(anon):     445260 kB
Inactive(anon):    67004 kB
Active(file):     399624 kB
Inactive(file):   238920 kB
Unevictable:           0 kB
Mlocked:               0 kB
HighTotal:        778240 kB
HighFree:           1160 kB
LowTotal:        1012772 kB
LowFree:          390336 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               296 kB
Writeback:             0 kB
AnonPages:        447636 kB
Mapped:           376716 kB
Shmem:             68236 kB
KReclaimable:      21864 kB
Slab:              44468 kB
SReclaimable:      21864 kB
SUnreclaim:        22604 kB
KernelStack:        2464 kB
PageTables:         6024 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      895504 kB
Committed_AS:    1487684 kB
VmallocTotal:     245760 kB
VmallocUsed:        2476 kB
VmallocChunk:          0 kB
Percpu:              480 kB
CmaTotal:         270336 kB
CmaFree:               0 kB
