MemTotal:        1791012 kB
MemFree:          413224 kB
MemAvailable:    1018188 kB
Buffers:          205956 kB
Cached:           480220 kB
SwapCached:            0 kB
Active:           802368 kB
Inactive:         313936 kB
Active(anon):     421744 kB
Inactive(anon):    65616 kB
Active(file):     380624 kB
Inactive(file):   248320 kB
Unevictable:           0 kB
Mlocked:               0 kB
HighTotal:        778240 kB
HighFree:           1208 kB
LowTotal:        1012772 kB
LowFree:          412016 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               348 kB
Writeback:             0 kB
AnonPages:        430340 kB
Mapped:           384532 kB
Shmem:             66644 kB
KReclaimable:      21328 kB
Slab:              45116 kB
SReclaimable:      21328 kB
SUnreclaim:        23788 kB
KernelStack:        2464 kB
PageTables:         5700 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      895504 kB
Committed_AS:    1356516 kB
VmallocTotal:     245760 kB
VmallocUsed:        2472 kB
VmallocChunk:          0 kB
Percpu:              480 kB
CmaTotal:         270336 kB
CmaFree:               0 kB
